YEAR,STATE,EVTYPE,COUNT,FATALITIES
1950,alabama,TORNADO,2,0
1951,alabama,TORNADO,5,0
1952,alabama,TORNADO,13,6
1953,alabama,TORNADO,22,16
1954,alabama,TORNADO,10,0
1955,alabama,TORNADO,8,5
1955,alabama,THUNDERSTORM / THUNDERSTORM WIND,13,0
1955,alabama,HAIL,9,0
1956,alabama,THUNDERSTORM / THUNDERSTORM WIND,15,0
1956,alabama,HAIL,4,0
1956,alabama,TORNADO,7,25
1957,alabama,TORNADO,51,10
1957,alabama,HAIL,6,0
1957,alabama,THUNDERSTORM / THUNDERSTORM WIND,13,0
1958,alabama,TORNADO,23,1
1958,alabama,THUNDERSTORM / THUNDERSTORM WIND,3,0
1958,alabama,HAIL,10,0
1959,alabama,TORNADO,9,0
1959,alabama,THUNDERSTORM / THUNDERSTORM WIND,13,0
1959,alabama,HAIL,4,0
1960,alabama,TORNADO,11,0
1960,alabama,THUNDERSTORM / THUNDERSTORM WIND,13,0
1960,alabama,HAIL,5,0
1961,alabama,TORNADO,24,0
1961,alabama,THUNDERSTORM / THUNDERSTORM WIND,21,0
1961,alabama,HAIL,7,0
1962,alabama,TORNADO,11,0
1962,alabama,THUNDERSTORM / THUNDERSTORM WIND,29,0
1962,alabama,HAIL,9,0
1963,alabama,THUNDERSTORM / THUNDERSTORM WIND,26,0
1963,alabama,TORNADO,22,3
1963,alabama,HAIL,8,0
1964,alabama,TORNADO,26,12
1964,alabama,THUNDERSTORM / THUNDERSTORM WIND,26,0
1964,alabama,HAIL,6,0
1965,alabama,TORNADO,11,0
1965,alabama,THUNDERSTORM / THUNDERSTORM WIND,18,0
1965,alabama,HAIL,14,0
1966,alabama,THUNDERSTORM / THUNDERSTORM WIND,13,0
1966,alabama,TORNADO,11,1
1966,alabama,HAIL,1,0
1967,alabama,TORNADO,26,5
1967,alabama,THUNDERSTORM / THUNDERSTORM WIND,51,0
1967,alabama,HAIL,20,0
1968,alabama,TORNADO,14,1
1968,alabama,THUNDERSTORM / THUNDERSTORM WIND,57,0
1968,alabama,HAIL,17,0
1969,alabama,HAIL,7,0
1969,alabama,THUNDERSTORM / THUNDERSTORM WIND,39,0
1969,alabama,TORNADO,15,2
1970,alabama,THUNDERSTORM / THUNDERSTORM WIND,34,0
1970,alabama,TORNADO,14,2
1970,alabama,HAIL,14,0
1971,alabama,THUNDERSTORM / THUNDERSTORM WIND,82,0
1971,alabama,TORNADO,23,4
1971,alabama,HAIL,30,0
1972,alabama,TORNADO,16,4
1972,alabama,THUNDERSTORM / THUNDERSTORM WIND,32,0
1972,alabama,HAIL,13,0
1973,alabama,THUNDERSTORM / THUNDERSTORM WIND,110,0
1973,alabama,TORNADO,54,10
1973,alabama,HAIL,32,0
1974,alabama,HAIL,46,0
1974,alabama,TORNADO,55,79
1974,alabama,THUNDERSTORM / THUNDERSTORM WIND,84,0
1975,alabama,HAIL,25,0
1975,alabama,THUNDERSTORM / THUNDERSTORM WIND,73,0
1975,alabama,TORNADO,35,2
1976,alabama,THUNDERSTORM / THUNDERSTORM WIND,50,0
1976,alabama,TORNADO,30,0
1976,alabama,HAIL,20,0
1977,alabama,THUNDERSTORM / THUNDERSTORM WIND,77,0
1977,alabama,TORNADO,22,23
1977,alabama,HAIL,32,0
1978,alabama,THUNDERSTORM / THUNDERSTORM WIND,74,0
1978,alabama,TORNADO,22,0
1978,alabama,HAIL,23,0
1979,alabama,THUNDERSTORM / THUNDERSTORM WIND,57,0
1979,alabama,HAIL,14,0
1979,alabama,TORNADO,26,0
1980,alabama,HAIL,29,0
1980,alabama,THUNDERSTORM / THUNDERSTORM WIND,76,0
1980,alabama,TORNADO,29,0
1981,alabama,THUNDERSTORM / THUNDERSTORM WIND,79,0
1981,alabama,TORNADO,14,2
1981,alabama,HAIL,20,0
1982,alabama,TORNADO,28,0
1982,alabama,HAIL,59,0
1982,alabama,THUNDERSTORM / THUNDERSTORM WIND,85,0
1983,alabama,THUNDERSTORM / THUNDERSTORM WIND,204,1
1983,alabama,TORNADO,49,3
1983,alabama,HAIL,27,0
1984,alabama,THUNDERSTORM / THUNDERSTORM WIND,157,11
1984,alabama,TORNADO,46,5
1984,alabama,HAIL,83,0
1985,alabama,TORNADO,48,1
1985,alabama,THUNDERSTORM / THUNDERSTORM WIND,226,3
1985,alabama,HAIL,61,0
1986,alabama,THUNDERSTORM / THUNDERSTORM WIND,208,6
1986,alabama,HAIL,38,0
1986,alabama,TORNADO,20,2
1987,alabama,THUNDERSTORM / THUNDERSTORM WIND,116,0
1987,alabama,HAIL,32,0
1987,alabama,TORNADO,7,1
1988,alabama,HAIL,111,0
1988,alabama,THUNDERSTORM / THUNDERSTORM WIND,149,0
1988,alabama,TORNADO,20,0
1989,alabama,TORNADO,25,21
1989,alabama,THUNDERSTORM / THUNDERSTORM WIND,263,0
1989,alabama,HAIL,81,0
1990,alabama,HAIL,77,0
1990,alabama,THUNDERSTORM / THUNDERSTORM WIND,341,0
1990,alabama,TORNADO,19,0
1991,alabama,THUNDERSTORM / THUNDERSTORM WIND,174,0
1991,alabama,HAIL,68,0
1991,alabama,TORNADO,10,5
1992,alabama,THUNDERSTORM / THUNDERSTORM WIND,265,2
1992,alabama,TORNADO,28,2
1952,arizona,TORNADO,1,0
1954,arizona,TORNADO,2,0
1955,arizona,THUNDERSTORM / THUNDERSTORM WIND,4,0
1955,arizona,HAIL,2,0
1955,arizona,TORNADO,1,0
1956,arizona,THUNDERSTORM / THUNDERSTORM WIND,4,0
1956,arizona,TORNADO,3,0
1957,arizona,TORNADO,5,0
1957,arizona,HAIL,1,0
1957,arizona,THUNDERSTORM / THUNDERSTORM WIND,4,0
1958,arizona,TORNADO,4,0
1958,arizona,HAIL,1,0
1958,arizona,THUNDERSTORM / THUNDERSTORM WIND,8,0
1959,arizona,THUNDERSTORM / THUNDERSTORM WIND,9,0
1959,arizona,TORNADO,2,0
1960,arizona,TORNADO,2,0
1960,arizona,THUNDERSTORM / THUNDERSTORM WIND,3,0
1960,arizona,HAIL,1,0
1961,arizona,THUNDERSTORM / THUNDERSTORM WIND,19,0
1961,arizona,TORNADO,3,0
1961,arizona,HAIL,2,0
1962,arizona,HAIL,3,0
1962,arizona,THUNDERSTORM / THUNDERSTORM WIND,4,0
1962,arizona,TORNADO,3,0
1963,arizona,THUNDERSTORM / THUNDERSTORM WIND,12,0
1963,arizona,TORNADO,1,0
1963,arizona,HAIL,1,0
1964,arizona,HAIL,3,0
1964,arizona,THUNDERSTORM / THUNDERSTORM WIND,5,0
1964,arizona,TORNADO,2,2
1965,arizona,THUNDERSTORM / THUNDERSTORM WIND,7,0
1965,arizona,HAIL,2,0
1966,arizona,THUNDERSTORM / THUNDERSTORM WIND,6,0
1966,arizona,TORNADO,5,0
1966,arizona,HAIL,3,0
1967,arizona,THUNDERSTORM / THUNDERSTORM WIND,8,0
1967,arizona,TORNADO,5,0
1967,arizona,HAIL,2,0
1968,arizona,HAIL,2,0
1968,arizona,TORNADO,5,0
1968,arizona,THUNDERSTORM / THUNDERSTORM WIND,9,0
1969,arizona,TORNADO,4,0
1969,arizona,THUNDERSTORM / THUNDERSTORM WIND,13,0
1970,arizona,THUNDERSTORM / THUNDERSTORM WIND,12,0
1970,arizona,TORNADO,3,0
1970,arizona,HAIL,3,0
1971,arizona,THUNDERSTORM / THUNDERSTORM WIND,14,0
1971,arizona,TORNADO,7,0
1971,arizona,HAIL,4,0
1972,arizona,THUNDERSTORM / THUNDERSTORM WIND,12,0
1972,arizona,TORNADO,17,0
1972,arizona,HAIL,7,0
1973,arizona,TORNADO,2,0
1973,arizona,HAIL,2,0
1973,arizona,THUNDERSTORM / THUNDERSTORM WIND,10,0
1974,arizona,THUNDERSTORM / THUNDERSTORM WIND,24,0
1974,arizona,TORNADO,10,1
1974,arizona,HAIL,5,0
1975,arizona,THUNDERSTORM / THUNDERSTORM WIND,26,0
1975,arizona,TORNADO,1,0
1976,arizona,THUNDERSTORM / THUNDERSTORM WIND,23,0
1976,arizona,TORNADO,5,0
1976,arizona,HAIL,2,0
1977,arizona,THUNDERSTORM / THUNDERSTORM WIND,19,0
1977,arizona,TORNADO,2,0
1978,arizona,TORNADO,2,0
1978,arizona,THUNDERSTORM / THUNDERSTORM WIND,21,0
1978,arizona,HAIL,4,0
1979,arizona,HAIL,8,0
1979,arizona,THUNDERSTORM / THUNDERSTORM WIND,18,0
1979,arizona,TORNADO,3,0
1980,arizona,THUNDERSTORM / THUNDERSTORM WIND,19,0
1980,arizona,TORNADO,2,0
1980,arizona,HAIL,1,0
1981,arizona,THUNDERSTORM / THUNDERSTORM WIND,15,0
1981,arizona,HAIL,7,0
1981,arizona,TORNADO,3,0
1982,arizona,HAIL,11,0
1982,arizona,THUNDERSTORM / THUNDERSTORM WIND,22,0
1982,arizona,TORNADO,1,0
1983,arizona,THUNDERSTORM / THUNDERSTORM WIND,44,0
1983,arizona,TORNADO,5,0
1983,arizona,HAIL,7,0
1984,arizona,THUNDERSTORM / THUNDERSTORM WIND,17,0
1984,arizona,TORNADO,4,0
1984,arizona,HAIL,7,0
1985,arizona,TORNADO,3,0
1985,arizona,THUNDERSTORM / THUNDERSTORM WIND,15,0
1985,arizona,HAIL,6,0
1986,arizona,THUNDERSTORM / THUNDERSTORM WIND,49,0
1986,arizona,HAIL,10,0
1986,arizona,TORNADO,2,0
1987,arizona,THUNDERSTORM / THUNDERSTORM WIND,21,0
1987,arizona,HAIL,9,0
1987,arizona,TORNADO,3,0
1988,arizona,THUNDERSTORM / THUNDERSTORM WIND,36,3
1988,arizona,TORNADO,1,0
1988,arizona,HAIL,2,0
1989,arizona,TORNADO,1,0
1989,arizona,THUNDERSTORM / THUNDERSTORM WIND,25,0
1990,arizona,THUNDERSTORM / THUNDERSTORM WIND,50,6
1990,arizona,TORNADO,3,0
1990,arizona,HAIL,8,0
1991,arizona,THUNDERSTORM / THUNDERSTORM WIND,27,0
1991,arizona,HAIL,7,0
1991,arizona,TORNADO,2,0
1992,arizona,TORNADO,13,0
1992,arizona,THUNDERSTORM / THUNDERSTORM WIND,48,0
1950,arkansas,TORNADO,13,2
1951,arkansas,TORNADO,3,0
1952,arkansas,TORNADO,29,112
1953,arkansas,TORNADO,11,0
1954,arkansas,TORNADO,33,1
1955,arkansas,THUNDERSTORM / THUNDERSTORM WIND,24,0
1955,arkansas,TORNADO,28,2
1955,arkansas,HAIL,13,0
1956,arkansas,TORNADO,17,1
1956,arkansas,HAIL,16,0
1956,arkansas,THUNDERSTORM / THUNDERSTORM WIND,33,0
1957,arkansas,TORNADO,28,3
1957,arkansas,HAIL,15,0
1957,arkansas,THUNDERSTORM / THUNDERSTORM WIND,37,0
1958,arkansas,THUNDERSTORM / THUNDERSTORM WIND,13,0
1958,arkansas,TORNADO,7,0
1958,arkansas,HAIL,10,0
1959,arkansas,THUNDERSTORM / THUNDERSTORM WIND,24,0
1959,arkansas,HAIL,11,0
1959,arkansas,TORNADO,12,3
1960,arkansas,TORNADO,29,1
1960,arkansas,HAIL,7,0
1960,arkansas,THUNDERSTORM / THUNDERSTORM WIND,14,0
1961,arkansas,TORNADO,40,7
1961,arkansas,HAIL,25,0
1961,arkansas,THUNDERSTORM / THUNDERSTORM WIND,20,0
1962,arkansas,HAIL,12,0
1962,arkansas,THUNDERSTORM / THUNDERSTORM WIND,16,0
